Altium Designer Pick and Place Locations
C:\GIT\UltraZohm\pcb_design\uz_per_torque_box\Project Outputs for uz_per_torque_box\Rev01\Pick Place\Pick Place for uz_per_torque_box(Default).csv

========================================================================================================================
File Design Information:

Date:       19.06.24
Time:       13:20
Revision:   2141fb01c2bccf68c46b88a425408136632bf575
Variant:    Default
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"F2","1812_PTC_Polyfuse_Littelfuse","18.0000","18.0000","16.2000","16.2000","15.6100","16.2000","0","Littelfuse_PTC_1812","TopLayer"
"F1","1812_PTC_Polyfuse_Littelfuse","18.0000","18.0000","11.1000","11.1000","15.6100","11.1000","0","Littelfuse_PTC_1812","TopLayer"
"C7","C_0603","30.1000","30.1000","39.5000","39.5000","30.8000","39.5000","180","1 µF","TopLayer"
"C5","C_0603","25.6000","25.6000","34.8000","34.8000","26.3000","34.8000","180","22 pF","TopLayer"
"C6","C_0603","25.6000","25.6000","44.2000","44.2000","26.3000","44.2000","180","22 pF","TopLayer"
"C2","C_0603","21.9000","21.9000","40.0000","40.0000","21.9000","39.3000","90","1 nF","TopLayer"
"C1","C_0603","20.5000","20.5000","40.0000","40.0000","20.5000","39.3000","90","0.1 µF","TopLayer"
"C4","C_0805","18.2000","18.2000","39.6000","39.6000","18.2000","38.6000","90","2.2 µF","TopLayer"
"X3","IPL1-108-01-L-D-RA-K","11.0000","11.0000","20.0000","20.0000","9.7300","11.1100","90","IPL1-108-01-L-D-RA-K","TopLayer"
"MH4","MH_3.4","47.4000","45.5000","4.9000","4.5000","45.5000","4.5000","90","Mounting Hole","TopLayer"
"MH3","MH_3.4","44.9000","45.5000","73.6000","75.5000","45.5000","75.5000","90","Mounting Hole","TopLayer"
"MH2","MH_3.4","4.4000","4.5000","74.4000","75.5000","4.5000","75.5000","90","Mounting Hole","TopLayer"
"MH1","MH_3.4","4.5000","4.5000","2.7000","4.5000","4.5000","4.5000","90","Mounting Hole","TopLayer"
"X1","PCB_-_MISC_-_DSUB15","40.2500","40.2500","40.0000","40.0000","38.9800","49.6950","90","DS1037-15FNAKT74-0CC","TopLayer"
"R4","RES_0603_1608","21.0000","21.0000","42.0000","42.0000","20.3500","42.0000","0","51R1","TopLayer"
"R7","RES_0603_1608","25.6000","25.6000","33.0000","33.0000","24.9500","33.0000","0","1k","TopLayer"
"R11","RES_0603_1608","33.1000","33.1000","37.1000","37.1000","32.4500","37.1000","0","1k","TopLayer"
"R5","RES_0603_1608","21.0000","21.0000","37.1000","37.1000","20.3500","37.1000","0","51R1","TopLayer"
"R9","RES_0603_1608","30.1000","30.1000","37.1000","37.1000","29.4500","37.1000","0","1k","TopLayer"
"R10","RES_0603_1608","33.1000","33.1000","42.0000","42.0000","32.4500","42.0000","0","1k","TopLayer"
"R8","RES_0603_1608","30.1000","30.1000","42.0000","42.0000","29.4500","42.0000","0","1k","TopLayer"
"R6","RES_0603_1608","25.6000","25.6000","46.0000","46.0000","24.9500","46.0000","0","1k","TopLayer"
"R2","RES_0603_1608","23.0000","23.0000","16.2000","16.2000","23.6500","16.2000","180","3k","TopLayer"
"R1","RES_0603_1608","23.0000","23.0000","11.1000","11.1000","23.6500","11.1000","180","24k9","TopLayer"
"R12","RES_1206_3216","38.8000","38.8000","15.8000","15.8000","37.4000","15.8000","0","0R","TopLayer"
"R3","RES_1206_3216","10.4000","10.4000","75.0000","75.0000","11.8000","75.0000","180","0R","TopLayer"
"X2","RJHSE-5380-02","5.5000","7.6590","67.0000","52.7760","8.0400","57.0940","270","RJHSE538002","TopLayer"
"IC1","SOIC-8-N","27.5000","25.5950","42.0000","39.5500","27.5000","42.0000","270","ADA4940-1ARZ-R7","TopLayer"
"D2","WL-SMCW_0603","26.5000","26.5000","16.2000","16.2000","27.3000","16.2000","180","150060BS84000","TopLayer"
"D1","WL-SMCW_0603","26.5000","26.5000","11.1000","11.1000","27.3000","11.1000","180","150060BS84000","TopLayer"
